1636662408470,working.SideProject,360,
1636726964215,working.MeetElise,8,
1636729029890,working.SideProject,10,
1636731108556,working.MeetElise.coding,40,
1636734247437,working.MeetElise.meeting,9,
1636741116390,working.MeetElise.coding.debugging,10,
1636745146772,working.MeetElise.coding.debugging,30,
1636746917185,working.MeetElise.coding.debugging,45,
1636747332991,working.MeetElise.coding.new_feature,10,
1636751286462,working.MeetElise.coding.new_feature,20,
1636752607660,working.MeetElise.coding.new_feature,22,
1636754411558,working.MeetElise.coding.new_feature,30,
1636912133936,working.MeetElise.coding.new_feature,30,
1636913951468,working.MeetElise.coding.reconciling_bad_code,30,
1636927032686,working.MeetElise.designing.reading,30,
